OBJECTID,Common,Scientific,Family,Genus,Species,Condition,Crown Height,Edible,longitude,latitude
64,"maple, red",Acer rubrum,Sapindaceae,Acer,ACRU,Good,12,no,-122.6708355,45.52540244
65,hackberry,Celtis occidentalis,Cannabaceae,Celtis,CEOC,Good,64,no,-122.670284,45.52342748
66,"magnolia, deciduous",Magnolia spp.,Magnoliaceae,Magnolia,MG,Good,17,no,-122.6733834,45.52552733
67,ginkgo,Ginkgo biloba,Ginkgoaceae,Ginkgo,GIBI,Good,40,no,-122.6733917,45.52581619
68,dawn redwood,Metasequoia glyptostroboides,Taxodiaceae,Metasequoia,MEGL,Good,38,no,-122.6702821,45.52332252
69,"maple, Norway",Acer platanoides,Sapindaceae,Acer,ACPL,Good,57,no,-122.6739277,45.52873789
70,"maple, Norway",Acer platanoides,Sapindaceae,Acer,ACPL,Good,41,no,-122.675938,45.53060039
71,"magnolia, deciduous",Magnolia spp.,Magnoliaceae,Magnolia,MG,Good,16,no,-122.6733779,45.52546443
72,"magnolia, deciduous",Magnolia spp.,Magnoliaceae,Magnolia,MG,Good,23,no,-122.673384,45.52558169
73,"magnolia, deciduous",Magnolia spp.,Magnoliaceae,Magnolia,MG,Good,10,no,-122.6733862,45.52568341
74,"magnolia, deciduous",Magnolia spp.,Magnoliaceae,Magnolia,MG,Good,60,no,-122.6733912,45.52573621
75,hackberry,Celtis occidentalis,Cannabaceae,Celtis,CEOC,Good,64,no,-122.6702899,45.52350323
76,birch,Betula spp.,Betulaceae,Betula,BE,Good,57,no,-122.6734152,45.52715175
77,ash,Fraxinus spp.,Oleaceae,Fraxinus,FR,Good,61,no,-122.6702799,45.52400379
78,"oak, deciduous",Quercus spp.,Fagaceae,Quercus,QU,Good,46,no,-122.6723292,45.52472721
79,sweetgum,Liquidambar spp.,Altingiaceae,Liquidambar,LIST,Good,39,no,-122.6717069,45.52464535
80,ash,Fraxinus spp.,Oleaceae,Fraxinus,FR,Good,46,no,-122.6704085,45.52259031
81,ash,Fraxinus spp.,Oleaceae,Fraxinus,FR,Good,48,no,-122.6704012,45.52288233
82,ash,Fraxinus spp.,Oleaceae,Fraxinus,FR,Good,40,no,-122.6704086,45.5227323
83,sweetgum,Liquidambar spp.,Altingiaceae,Liquidambar,LIST,Good,37,no,-122.671837,45.52464385
84,sweetgum,Liquidambar spp.,Altingiaceae,Liquidambar,LIST,Good,16,no,-122.6720618,45.52464055
85,sweetgum,Liquidambar spp.,Altingiaceae,Liquidambar,LIST,Good,14,no,-122.672177,45.52463933
86,sweetgum,Liquidambar spp.,Altingiaceae,Liquidambar,LIST,Good,57,no,-122.6712177,45.52393629
